,next_day_mood
973,6.6
974,7.75
975,7.0
976,7.4
977,6.8
978,6.8
979,6.0
980,7.2
981,8.0
982,8.0
983,6.4
984,7.25
985,6.2
986,5.8
987,6.6
988,8.0
989,7.8
990,8.0
991,6.6
992,6.2
993,6.8
994,7.2
995,7.8
996,7.4
997,6.5
998,0.0
999,6.8
1000,6.6
1001,6.8
1002,8.0
1003,6.2
1004,6.4
1005,7.0
1006,6.0
1007,6.4
1008,7.4
1009,7.4
1010,7.2
1011,7.4
1012,7.6
1013,7.0
1014,6.6
1015,6.2
1016,7.6
1017,8.0
1018,7.2
1019,5.8
1020,5.4
1021,7.4
1022,6.4
1023,0.0
1024,7.0
1025,7.4
1026,7.0
1027,7.6
1028,7.6
1029,7.0
1030,7.4
1031,5.8
1032,7.0
1033,8.75
1034,7.6
1035,7.2
1036,7.8
1037,7.6
1038,8.6
1039,7.5
1040,7.2
1041,6.8
1042,7.8
1043,8.0
1044,7.6
1045,7.6
1046,9.333333333333334
1047,8.0
1048,7.8
1049,7.2
1050,6.6
1051,7.6
1052,7.2
1053,6.4
1054,7.4
1055,7.666666666666667
1056,0.0
1057,7.8
1058,7.0
1059,6.4
1060,6.6
1061,7.0
1062,7.8
1063,6.8
1064,7.5
1065,7.0
1066,0.0
1067,7.5
1068,6.8
1069,8.0
1070,5.75
1071,7.6
1072,7.2
1073,8.0
1074,7.8
1075,7.0
1076,7.0
1077,7.4
1078,7.8
1079,7.2
1080,6.8
1081,6.8
1082,6.2
1083,7.8
1084,5.8
1085,6.75
1086,7.8
1087,8.0
1088,7.25
1089,7.0
1090,8.0
1091,7.0
1092,8.0
1093,7.25
1094,7.5
1095,7.0
1096,6.2
1097,6.4
1098,6.8
1099,7.4
1100,6.8
1101,7.0
1102,0.0
1103,6.333333333333333
1104,6.5
1105,0.0
1106,7.25
1107,8.0
1108,8.2
1109,7.75
1110,7.2
1111,7.8
1112,7.6
1113,8.6
1114,7.2
1115,8.25
1116,8.2
1117,8.0
1118,8.25
1119,7.8
1120,7.6
1121,8.0
1122,7.0
1123,7.5
1124,7.2
1125,6.4
1126,7.6
1127,7.8
1128,7.5
1129,6.0
1130,6.5
1131,7.0
1132,7.6
1133,7.8
1134,7.6
1135,0.0
1136,8.0
1137,8.0
1138,7.333333333333333
1139,0.0
1140,7.8
1141,7.8
1142,7.4
1143,7.0
1144,7.0
1145,7.6
1146,8.2
1147,7.6
1148,6.0
1149,0.0
1150,7.8
1151,7.6
1152,7.8
1153,7.8
1154,8.0
1155,6.8
1156,7.75
1157,7.8
1158,8.4
1159,7.6
1160,7.6
1161,7.8
1162,7.6
1163,8.0
1164,7.8
1165,8.0
1166,8.0
1167,7.6
1168,7.8
1169,7.75
1170,8.2
1171,7.666666666666667
1172,7.8
1173,7.2
1174,7.75
1175,7.6
1176,8.4
1177,7.6
1178,7.4
1179,7.8
1180,7.75
1181,7.8
1182,8.0
1183,7.6
1184,8.2
1185,7.5
1186,7.8
1187,7.8
1188,8.0
1189,8.0
1190,7.8
1191,8.2
1192,8.0
1193,7.8
